EMS_NO,FAC_NAME,COUNTY_NAME,DOCUMENT_NO,TRANSGRESS_DATE,TRANSGRESS_LAW,PENALTY_MONEY,PENALTY_DATE,ISPETITION,PETITION_RESULTS,APPEAL_OR_RESCIND,TRANSGRESS_TYPE,FAC_ADDRESS,TRANSGRESS_NAME,OPENINFOR,LAWSUIT_DATE_1,ILLEGAL_MONEY,TRACK_ILLEGAL_MONEY,COUNTY_CODE,PETITION_AGENCY,FAC_UNIFORMNO,TRANSGRESS_ADDRESS,SUBJECT,GIST_DEFINE,IMPROVE_DEADLINE,INSPECTION_CONDITION,TRANSGRESS_CONTROL_ID,IS_IMPROVE,INSPECTION_DATETIME_S,PENALTYKIND,ISIMPORTANT,PAYMENTSTATE,ISREMINDER,ISADMINCOURT,IsReduceMoney
E47A6264,合溫馨企業股份有限公司,高雄市,30-109-070019,2020-07-13,水污染防治措施及檢測申報管理辦法第10條，水污染防治法第18條,18000,2020-07-27,0,,,水污染,高雄市鼓山區博愛二路三五九號、三五九之一號、三五九之二號,合溫馨企業股份有限公司-餐廳及視聽歌唱場所新建工程,現場有動工情形,,,,33,,29004693,高雄市苓雅區五塊厝段二三七一、二三七二、二三九六、二三九七地號,罰鍰新臺幣18000元整。處環境講習2小時整。,違反水污染防治法第18條及水污染防治措施及檢測申報管理辦法第10條之規定，並依水污染防治法第46條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,E53B0811,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,
F14097000969,豪豐營造股份有限公司,臺北市,22-109-070095,2020-07-13,噪音管制法第9條第1項第4款，噪音管制標準第6條,18000,2020-07-27,0,,,噪音污染,新北市蘆洲區光榮路九七巷六一號,豪豐營造股份有限公司-108建字第0146號新建(含拆除)工程,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：69.7分貝、管制標準值：67分貝) (工程名稱:榮華一鹿新建工程、建造執照:北市108建字第0146號)",,,,01,,27453461,臺北市北投區榮華一路9號邊,罰鍰新臺幣18000元整。處環境講習4小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A44B6442,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
F03097017230,東生營造股份有限公司,臺北市,22-109-070096,2020-07-13,噪音管制法第9條第1項第4款，噪音管制標準第6條,18000,2020-07-27,0,,,噪音污染,新北市永和區福和路三二七號一一樓,東生營造有限公司-108建字第0045號新建工程,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：74.5分貝、管制標準值：72分貝)(工程名稱:維正建設立農段新建工程、建造執照:108建字第0045號)",,,,01,,23788536,臺北市士林區立農街1段330號斜對面,罰鍰新臺幣18000元整。處環境講習4小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A44B6492,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
H42097008425,國記營造股份有限公司,臺北市,22-109-070093,2020-07-11,噪音管制法第8條第4款,3000,2020-07-27,0,,,噪音污染,桃園市桃園區成功路一段三二號八樓,國記營造股份有限公司-106建字第0236號新建工程,營建工程未經核准，於本市第二類噪音管制區假日中午12時至下午2時，使用動力機械操作從事施工致妨礙安寧。(工程名稱:臺北市北投區奇岩公共住宅統包工程、建造執照:北市106建字第0236號),,,,01,,44965369,臺北市北投區公舘路376巷4弄1號對面,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A44B4872,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
C1405077,金駿營造股份有限公司-基隆市中山區德安段1021-1地號等五筆(107基府都建字第00051號),基隆市,22-109-070027,2020-07-11,噪音管制法第8條第4款,3000,2020-07-30,0,,,噪音污染,基隆市中山區復興路二六一號(對面),金駿營造股份有限公司-基隆市中山區德安段1021-1地號等五筆(107基府都建字第00051號),本案為民眾陳情本市中山區德安路2號對面有施工噪音擾寧情事，本市環保局於109年07月11日12時05分派員稽查，經查該處為「金駿營造股份有限公司-基隆市中山區德安段1021-1地號等五筆(107基府都建字第00051號)」，稽查時段工程施作中，此舉已違反噪音管制法第8條第4款本市公告事項：營建工程於本市各類噪音管制區晚上十時(週六週日或國定假日為晚上六時)至翌日上午八時，以及每週六及週日（含國定假日）中午十二時至下午二時，不得使用動力機械從事施工致妨礙安寧之行為。,,,,03,,54003659,基隆市中山區德安路2號對面,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,C1405077,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
C1604338,上元環保服務有限公司,基隆市,44-109-070004,2020-07-10,廢棄物清理法第42條,6000,2020-07-29,0,,,廢棄物清除處理機構,基隆市信義區正信路二二七巷二一弄三二號五樓,上元環保服務有限公司,"一、依據「廢棄物清理法」第四十二條規定：「…公民營廢棄物清除處理機構應具備之條件、自有設施、分級、專業技術人員設置、許可、許可期限、廢止許可、停工、停業、歇業、復業及其他應遵行事項之管理辦法，由中央主管機關定之。」另依據「公民營廢棄物清除處理機構許可管理辦法」第十八條之規定：「清除、處理機構除依本法第四十一條第一項但書規定免申請核發公民營廢棄物清除處理機構許可文件者外，應依本法及其相關規定及審查通過之申請文件內容辦理…。」，合先敘明。二、依據民眾所提供資料，經本局派員至現場查核發現尚有堆置廢木材(板)、廢塑膠、磚瓦石塊、營建廢棄物等，並查現場有貴公司之車輛(車號：AAE-360)將廢棄物載運至車上， 貴公司雖領有基隆市政府廢棄物清除許可證「（107）基隆市廢乙清字第0009號」，惟未核准設置貯存場或轉運站，貴公司逕將廢棄物進行貯存堆置，業已違反廢棄物清理法相關規定，本局依法告發處分。",,,,03,,16965752,基隆市暖暖區水源橋下,罰鍰新臺幣6000元整。限改日期：109年07月24日。處環境講習1小時整。,違反廢棄物清理法第42條之規定，並依廢棄物清理法第55條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-07-24,,C1604338,已改善完成,,罰鍰(非連續處罰)，限期改善,,尚未繳款,否,否,
C16A2259,慶霖營造股份有限公司-基隆市中興國小老舊校舍改建暨停車場新建工程(108基府都建字第00040號),基隆市,22-109-070026,2020-07-10,噪音管制法第8條第4款,6000,2020-07-30,0,,,噪音污染,基隆市信義區信二路四○號,慶霖營造股份有限公司-基隆市中興國小老舊校舍改建暨停車場新建工程(108基府都建字第00040號),本案為民眾陳情本市信義區信二路40號有施工噪音擾寧情事，本市環保局於109年07月10日22時50分派員稽查，經查該處為「慶霖營造股份有限公司-基隆市中興國小老舊校舍改建暨停車場新建工程(108基府都建字第00041號)」，稽查時段工程施作中，此舉已違反噪音管制法第8條第4款本市公告事項：營建工程於本市各類噪音管制區晚上十時(週六週日或國定假日為晚上六時)至翌日上午八時，以及每週六及週日（含國定假日）中午十二時至下午二時，不得使用動力機械從事施工致妨礙安寧之行為。,,,,03,,23875399,基隆市信義區信二路40號,罰鍰新臺幣6000元整。處環境講習1小時整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,C16A2259,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
F06097017377,仟溢環保有限公司,臺北市,40-109-070070,2020-07-10,廢棄物清理法第27條第2款,3600,2020-07-17,0,,,事業廢棄物,新北市新莊區天祥街五六號五樓,大陸工程股份有限公司-108建字第0075號新建(含拆)工程,"工程施工未妥為清理，致廢棄物或剩餘土石方等污染鄰近水溝 (工程名稱:信義A7案商業大樓新建工程,建號:108建字第0075號;泥漿污染涵管[含沉砂池)約200公尺) (污染程度Ａ=1，污染特性Ｂ=3，危害程度Ｃ=1)",,,,01,,28533718,臺北市信義區松壽路與松智路工地周邊溝渠,罰鍰新臺幣3600元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A45B4906,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A40097002697,威峰開發有限公司,臺北市,40-109-070084,2020-07-09,廢棄物清理法第27條第2款,1200,2020-07-24,0,,,事業廢棄物,臺北市文山區景隆街一○九號,五益營造股份有限公司-108建字第0128號新建工程,"工程施工未妥為清理，致廢棄物或剩餘土石方等污染鄰近路面或人行道(元利建設華興段集合住宅新建工程,108建字第0128號,泥沙污染路面)(污染程度A=1,污染特性B=1,危害程度C=1)",,,,01,,28453171,臺北市文山區木柵路1段311巷口,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A40B2183,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
E2000358,環球油漆股份有限公司,高雄市,34-109-070002,2020-07-09,毒性及關注化學物質管理法第8條第4項,60000,2020-07-30,0,,,毒性化學物質,高雄市大寮區裕民街二○號,環球油漆股份有限公司,"本局派員於109年7月9日至貴公司進行毒性化學物質查核，本案108年8月20日、108年12月11日輸入「RC0968ACRYLIC COPPER POLYMER」，該貨品經行政院環境保護署環境檢驗所檢測報告含有甲基異丁酮(11.4%W/W)。前述輸入行為均未事前向本局申報第四類毒性化學物質甲基異丁酮之毒理相關資料，業已違反毒性及關注化學物質管理法第8條第4項規定。",,,,33,,23035810,高雄市大寮區裕民街二○號,罰鍰新臺幣60000元整。處環境講習2小時整。,違反毒性及關注化學物質管理法第8條第4項之規定，並依毒性及關注化學物質管理法第59條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,E2000358,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A3603333,台灣電力股份有限公司,臺中市,20-109-070024,2020-07-09,空氣污染防制法第24條第1項，空氣污染防制法第24條第2項,20000000,2020-07-21,0,,,固定空污,臺北市中正區羅斯福路三段二四二號,台灣電力股份有限公司台中發電廠,本局於109年7月3日及9日派員至貴公司所屬台中發電廠執行稽查作業，其M02製程(2#機組)未領有本局核發之固定污染源操作許可證，現場仍投入生煤至鍋爐中，並進行併聯發電，且未遵行本局109年6月25日中市環空字第1090071492號函停工命令，再次違反空氣污染防制法第24條第1、2項規定。,,,,31,,03795904,臺中市龍井區麗水里龍昌路一號,罰鍰新臺幣20000000元整，並請確實遵行本局109年6月25日停工命令(裁處書字號：20-109-060033)。處環境講習8小時整。,違反空氣污染防制法第24條第1項、第2項，依同法第63條暨公私場所固定污染源違反空氣污染防制法應處罰鍰額度裁罰準則裁處。依環境教育法第23條第2款之規定裁處環境講習,,,L0200473,不須改善,,罰鍰(非連續處罰)，勒令停工，罰鍰(非連續處罰),否,尚未繳款,否,否,
H52A2854,寶潔能工業股份有限公司,桃園市,44-109-070002,2020-07-09,廢棄物清理法第42條,6000,2020-07-09,0,,,廢棄物清除處理機構,桃園市新屋區望間里十五間一五之八號,鴻曜塑膠工業有限公司,經查貴事業負責人於109年4月16日變更負責人及公司名稱，惟貴事業未依規定於負責人及公司名稱變更後30日內(即109年5月16日前)辦理處理同意設置文件變更，核已違反上開規定。,,,,10,,28945520,桃園市新屋區望間里13鄰十五間15-8號,罰鍰新臺幣6000元整。處環境講習2小時整。,違反廢棄物清理法第42條之規定，並依廢棄物清理法第55條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,H52A2854,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A40097010082,昶明營造股份有限公司,臺北市,40-109-070091,2020-07-09,廢棄物清理法第27條第2款,4800,2020-07-28,0,,,事業廢棄物,臺北市文山區指南路二段一三號一樓,昶明營造股份有限公司-107建字第0180號新建工程,"工程施工未妥為清理，致廢棄物或剩餘土石方等污染鄰近路面或人行道 (工程名稱:咊晹建設松露院住宅新建工程,建號:107建字第0180號;泥沙污染路面) (污染程度Ａ=1，污染特性Ｂ=4，危害程度Ｃ=1)",,,,01,,27080012,臺北市文山區秀明路2段73巷口,罰鍰新臺幣4800元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A40B2094,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A39097005268,永濬營造工程有限公司,臺北市,22-109-070094,2020-07-09,噪音管制法第9條第1項第4款，噪音管制標準第6條,18000,2020-07-27,0,,,噪音污染,臺北市中山區撫順街三五號二樓,華熊營造股份有限公司-107建字第0230號新建工程,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：69.6分貝、管制標準值：67分貝)(工程名稱:奧斯卡中正段雍居仁愛集合住宅新建工程、建造執照:107建字第0230號)",,,,01,,28477883,臺北市中正區杭州南路1段71巷18號1樓旁,罰鍰新臺幣18000元整。處環境講習4小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A36C0071,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
E5601348,茂生農經股份有限公司高雄廠,高雄市,20-109-070018,2020-07-09,空氣污染防制法第23條第1項,100000,2020-07-29,0,,,固定空污,高雄市小港區山明里大業南路六○號,茂生農經股份有限公司高雄廠,環保署環境督察總隊環境督察大隊於109年7月9日前往督察，貴廠從事動物飼品製造業，領有固定污染源飼料製造程序(M01)操作許可證（高市環局空操許證字第E1203-01號），查運作中之旋風分離器(A005)壓降儀表顯示約4cmH2O、旋風分離器(A006)壓降儀表顯示約0cmH2O，惟查A005及A006之儀表管線皆未完全連接至空污防制設備，貴廠未維持監測儀表之正常運作，違反空氣污染防制法第23條第1項之規定。,,,,33,,18795706,高雄市小港區山明里大業南路六○號,罰鍰新臺幣100000元整。處環境講習2小時整。,違反「空氣污染防制法」第23條第1項規定，並依同法第62條第1項第4款規定裁處。依環境教育法第23條第2款之規定裁處環境講習,,,E5601348,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,
A35097009262,三井工程股份有限公司,臺北市,22-109-070091,2020-07-09,噪音管制法第8條第4款,3000,2020-07-27,0,,,噪音污染,臺北市大安區敦化南路二段二一八號一二樓,三井工程股份有限公司-108建字第0040號新建工程,營建工程未經核准，於本市第三類噪音管制區晚上10時至翌日上午8時，使用動力機械操作從事施工致妨礙安寧。(工程名稱:中華大樓新建工程、建造執照:108建字第0040號),,,,01,,63003906,臺北市萬華區漢口街2段5號對面,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A37A8848,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
E2000358,環球油漆股份有限公司,高雄市,34-109-070003,2020-07-09,毒性及關注化學物質管理法第8條第5項,60000,2020-07-30,0,,,毒性化學物質,高雄市大寮區裕民街二○號,環球油漆股份有限公司,另查貴公司於109年5月14日始取得前述毒化物之運作濃度10~15%W/W運作核可，因此貴公司於108年8月20日、12月11日及109年5月5日逕行使用，貯存，然未於運作前向本局提出申請變更運作事項，業已違反毒性及關注化學物質管理法第8條第5項規定。,,,,33,,23035810,高雄市大寮區裕民街二○號,罰鍰新臺幣60000元整。處環境講習2小時整。,違反毒性及關注化學物質管理法第8條第5項之規定，並依毒性及關注化學物質管理法第59條第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,E2000358,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
H42097008425,國記營造股份有限公司,臺北市,22-109-070077,2020-07-08,噪音管制法第9條第1項第4款，噪音管制標準第6條,18000,2020-07-20,0,,,噪音污染,桃園市桃園區成功路一段三二號八樓,國記營造股份有限公司-106建字第0236號新建工程,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：69.8分貝、管制標準值：67分貝)(工程名稱:臺北市北投區奇岩公共住宅統包工程、建造執照:北市106建字第0236號)",,,,01,,44965369,臺北市北投區公舘路376巷4弄1號邊,罰鍰新臺幣18000元整。處環境講習4小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A44B4872,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A35097001551,久年營造股份有限公司,臺北市,22-109-070070,2020-07-08,噪音管制法第8條第4款,3000,2020-07-16,0,,,噪音污染,臺北市大安區忠孝東路三段六號二樓,久年營造股份有限公司-109建字第0020號新建工程,營建工程未經核准，於本市第二類噪音管制區晚上10時至翌日上午8時，使用動力機械操作從事施工致妨礙安寧。(工程名稱:臺北市文山區華興公共住宅統包工程、建造執照:109建字第0020號),,,,01,,55656776,臺北市文山區和興路92號旁,罰鍰新臺幣3000元整。,違反噪音管制法第8條第4款之規定，並依噪音管制法第23條裁處。,,,A40B2470,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A3505412,根基營造股份有限公司,臺北市,40-109-070090,2020-07-08,廢棄物清理法第27條第2款,6000,2020-07-28,0,,,事業廢棄物,"臺北市大安區和平東路三段一三一號 六樓",根基營造股份有限公司-108拆字第0076號拆除工程,"工程施工未妥為清理，致廢棄物或剩餘土石方等污染鄰近路面或人行道 (工程名稱:南門大樓暨市場改建統包工程,拆照:108拆字第0076號;砂土污染路面) (污染程度Ａ=1，污染特性Ｂ=7，危害程度Ｃ=1)",,,,01,,43876760,臺北市中正區南海路2巷2之1號旁,罰鍰新臺幣6000元整。處環境講習2小時整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A36C0556,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A38A3348,地樺營造事業股份有限公司,臺北市,40-109-070092,2020-07-08,廢棄物清理法第27條第2款,6000,2020-07-28,0,,,事業廢棄物,臺北市大同區承德路二段八一號四樓之一,地樺營造事業股份有限公司-108建字第0241號新建工程,"工程施工未妥為清理，致廢棄物或剩餘土石方等污染鄰近路面或人行道 (工程名稱:名積建設懷生段新建工程,建號:108建字第0241號;泥沙污染路面) (污染程度Ａ=1，污染特性Ｂ=5，危害程度Ｃ=1)",,,,01,,05025825,臺北市大安區新生南路1段97巷10號前,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A35C9117,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
